寛,"とも,のぶ,のり,ひろし,ひろん,ゆた,ゆたか"
平,"ひら,たいら,たら,はち,ひ,ひとし,へ,へん"
恵,"あや,け,さと,さとし,しげ,へい,み,やす"
越,"えち,えっ,お,こえ,ごえ,こし,ごし,ごや"
匡,"きよ,ただ,ただし,ひと,まさ,まさし,やす"
豪,"ご,こう,すぐる,たけ,たけし,ひで,まさる"
長,"なが,お,おしゃ,たかし,たけ,な,は,ひさ"
福,"ふく,とし,とみ,ふ,ふき,ふっ,ぼく,よし"
雅,"まさ,う,お,か,ただし,のり,まさし,よし"
淳,"あつ,あつし,きよ,きよし,すなお,まこと"
小,"お,こ,いさら,こう,さざ,しゃお,ちいさ"
師,"かず,つかさ,のし,のり,みつ,もと,もろ"
慶,"けい,き,きよん,け,みち,む,やす,よし"
谷,"たに,がい,がえ,がや,せ,たり,たん,や"
新,"あせ,あたらし,し,に,にっ,につ,よし"
靖,"おさむ,きよし,しず,のぶ,やす,やすし"
方,"から,な,なた,ふさ,まさ,みち,も,わ"
圭,"けい,か,かど,きよ,きよし,たま,よし"
尚,"たか,たかし,ないし,なり,ひさ,ひさし"
達,"たち,かつ,さと,て,てつ,とおる,みち"
光,"みつ,あき,あきら,こお,てる,ひこ,み"
阿,"あ,あず,あわ,おか,きた,な,ほとり"
暁,"あき,あきら,あけ,さと,さとる,てる"
天,"あま,あき,あも,た,たかし,て,なま"
石,"いし,いさ,いす,いわ,し,せっく,と"
出,"いず,いづ,いで,じ,すっ,すつ,てん"
紀,"おさむ,ただす,とし,とも,のり,もと"
蔵,"くらし,くらん,くろう,ざ,さし,ろう"
良,"じ,なが,まこと,よし,ら,りょ,ろう"
茂,"しげ,うむさ,き,し,つとむ,む,もて"
秀,"しゅう,ひで,しゅ,しょう,ひでし,ほ"
宣,"とおる,のぶ,のぼる,のり,ひさ,よし"
米,"は,べ,まべ,め,よ,よな,よの,よま"
輝,"あき,あきら,さき,てる,ひ,ひかる"
温,"あつ,あつし,なお,はる,ゆ,ゆたか"
有,"あり,あ,あら,ある,くに,なお,ゆ"
金,"かね,きん,かん,きむ,こ,この,ん"
栄,"さかえ,しげ,てる,なが,ひで,よし"
迫,"さこ,せ,せこ,はさ,はさま,はざま"
禎,"さだ,さち,ただし,とも,のり,よし"
知,"さと,さとる,しり,しれ,とも,のり"
田,"た,いなか,おか,たん,で,とう,や"
弘,"ひろ,お,こお,ひろし,ひろむ,みつ"
正,"まさ,おお,くに,ただし,ま,まさし"
芳,"よし,お,かおる,は,ほ,みち,やす"
安,"あ,あん,あ,あす,あず,あっ,や"
昂,"あき,あきら,たか,たかし,のぼる"
慧,"あきら,さと,さとし,さとる,とし"
惇,"あつ,あつし,つとむ,とし,まこと"
充,"あつ,のぶ,まさ,みち,みつ,よし"
行,"いく,なみ,なめ,みち,ゆき,ゆく"
碵,"いしずえ,せき,ひろ,みち,みつる"
承,"うけ,こと,すけ,つぎ,つぐ,よし"
誉,"え,たか,たけ,ほまれ,ほめ,ほん"
訓,"く,くに,くの,さとし,のり,ふみ"
康,"こう,やす,かん,こ,みち,やすし"
向,"こお,た,な,むか,むかい,むこう"
瀬,"せ,いわた,がせ,しげ,せい,せっ"
